,Bank Name,Merchant Name,Link to offer on Bank site (for reference),Category,Offer title (if available),Start date,End date,Detailed offer text (if available),Logo link,Offer image,Redeem link,Promo code (if available),Online/ Offline,"If offline, cities"
0,,Kalki Fashion,Kalki Fashion,Apparel ,,,15th September 2024,Get 15% off on all transactions at Kalki Fashion online store,,,https://www.visa.co.in/en_in/visa-offers-and-perks/kalki-fashion/148520,,Online,
1,,Lifestyle,Lifestyle,Apparel ,,,15th September 2024,Additional 15% off on a minimum spend of Rs 1999,,,https://www.visa.co.in/en_in/visa-offers-and-perks/lifestyle-landmark-group/146532,,Online,
2,,Behrouz Biryani,Behrouz Biryani,Dining ,,,15th September 2024,Get 30% Off upto Rs 125/- on orders above Rs 249/-,,,https://www.visa.co.in/en_in/visa-offers-and-perks/behrouz-biryani/146163,,Online,
3,,Faasos,Faasos,Dining ,,,15th September 2024,Offer: Get 40% Off upto Rs 110/- on orders above Rs 199/-,,,https://www.visa.co.in/en_in/visa-offers-and-perks/faasos/148521,,Online,
4,,Firangi Bake,Firangi Bake,Dining ,,,15th September 2024,"Offer: Flat 35% off on pastas, lasagne, quesadillas, and more 
",,,https://www.visa.co.in/en_in/visa-offers-and-perks/firangi-bake/146173,,Online,
5,,Sweet Truth,Sweet Truth,Dining ,,,15th September 2024,"Offer: Get 40% Off upto Rs 100/- on orders above Rs 249/-
",,,https://visa.co.in/en_in/visa-offers-and-perks/sweet-truth/146176,,Online,
6,,The Good Bowl,The Good Bowl,Dining ,,,15th September 2024,"Offer: Get 40% Off upto Rs 110/- on orders above Rs 199/-
",,,https://www.visa.co.in/en_in/visa-offers-and-perks/the-good-bowl/146175,,Online,
7,,The Lunch Box,The Lunch Box,Dining ,,,15th September 2024,Offer: Get 30% Off upto Rs 100/- on orders above Rs 199/- ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/the-lunch-box/146177,,Online,
8,,Oven Story ,Oven Story ,Dining ,,,15th September 2024,Get 50% Off upto Rs 125/- on orders above Rs 249/-,,,https://www.visa.co.in/en_in/visa-offers-and-perks/oven-story/146172,,Online,
9,,EatSure,EatSure,Dining ,,,15th September 2024,Get 30% Off on orders above Rs 249/ at EaSure,,,https://www.visa.co.in/en_in/visa-offers-and-perks/eatsure/146915,,Online,
10,,Slay Coffee,Slay Coffee,Dining ,,,15th September 2024,Get 30% Off on orders above Rs 199/- at Slay Coffee ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/slay-coffee/146871,,Online,
11,,Ferns and Petals,Ferns and Petals,Others ,,,31st March 2024,Flat 20% off on a minimum transaction of Rs 999 at Ferns and Petals online store,,,https://www.visa.co.in/en_in/visa-offers-and-perks/ferns-n-petals/153557,,Online,
12,,Arata,Arata,Health & Wellness,,,15th September 2024,Get flat 30% off on zero chemical products at Arata,,,https://www.visa.co.in/en_in/visa-offers-and-perks/arata/138652,,Online,
13,,Boheco Life,Boheco Life,Health & Wellness,,,15th September 2024,Get 15% off on Boheco Life,,,https://www.visa.co.in/en_in/visa-offers-and-perks/boheco-life/138648,,Online,
14,,Healthkart,Healthkart,Health & Wellness,,,15th September 2024,Upto 70% off + Additional 10% off on Healthkart,,,https://www.visa.co.in/en_in/visa-offers-and-perks/healthkart/142757,,Online,
15,,Pee Safe,Pee Safe,Health & Wellness,,,15th September 2024,"FLAT 20% OFF 
Minimum purchase of INR 499",,,https://www.visa.co.in/en_in/visa-offers-and-perks/pee-safe/148529,,Online,
16,,CityFurnish,CityFurnish,Home,,,15th September 2024,Flat 18% off on every month rent of your first order at City Furnish,,,https://www.visa.co.in/en_in/visa-offers-and-perks/cityfurnish/146885,,Online,
17,,Daily Objects ,Daily Objects ,Lifestyle ,,,15th September 2024,Upto 50% off + Additional 30% off at Daily Objects ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/daily-objects/148537,,Online,
18,,Matrix (Sim Cards),Matrix (Sim Cards),Travel,,,15th September 2024,Get flat 10% off on Matrix International Sim cards ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/matrix-sim-cards/148546,,Online,
19,,Matrix (Travel Insurance),Matrix (Travel Insurance),Travel,,,15th September 2024,Get flat 20% off on Travel Insurance,,,https://www.visa.co.in/en_in/visa-offers-and-perks/matrix-travel-insurance/148547,,Online,
20,,Hype,Hype,Travel,,,15th September 2024,"Offer: Get additional 5% off
",,,https://www.visa.co.in/en_in/visa-offers-and-perks/hype/156422,,Online,
21,,Gostops,Gostops,Travel,,,15th September 2024,Get 20% off on Short Stay Packages,,,https://www.visa.co.in/en_in/visa-offers-and-perks/go-stops/156424,,Online,
22,,Fastrack,Fastrack,Accessories,,,15th September 2024,Get flat 10% off at Fastrack,,,https://www.visa.co.in/en_in/visa-offers-and-perks/fastrack/153526,,Online,
23,,Titan,Titan,Accessories,,,15th September 2024,Get flat 10% off at Titan,,,https://www.visa.co.in/en_in/visa-offers-and-perks/titan/153527,,Online,
24,,mCaffeine,mCaffeine,Health & Wellness,,,15th September 2024,Additional 20% Off Sitewide + 10% Cashback ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/mcaffeine/148500,,Online ,
25,,Zingbus,Zingbus,Travel,,,15th September 2024,Get 25% OFF on bus tickets ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/zingbus/148501,,Online ,
26,,My Fitness,My Fitness,Health & Wellness,,,15th September 2024,Get upto 33% off + 10% additional off at MYFITNESS Website,,,https://www.visa.co.in/en_in/visa-offers-and-perks/my-fitness/148519,,Online ,
27,,MacV,MacV,Accessories,,,15th September 2024,Flat 25% off ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/macv/148613,,Online ,
28,,Body Cupid,Body Cupid,Health & Wellness,,,15th September 2024,25% Off On Minimum Purchase Of 899 And Above,,,https://www.visa.co.in/en_in/visa-offers-and-perks/body-cupid/148612,,Online ,
29,,Wow Skin ,Wow Skin ,Health & Wellness,,,15th September 2024,25% Off On Minimum Purchase Of 899 And Above,,,https://www.visa.co.in/en_in/visa-offers-and-perks/wow-skin-science/148607,,Online ,
30,,Abhibus,Abhibus,Travel,,,15th September 2024,Save Upto Rs.300 On Abhibus Bookings,,,https://www.visa.co.in/en_in/visa-offers-and-perks/abhibus/148603,,Online ,
31,,Lo Foods,Lo Foods,Dining ,,,15th September 2024,25% off on MOV 600/-,,,https://www.visa.co.in/en_in/visa-offers-and-perks/lo-foods/148602,,Online ,
32,,Fast&Up,Fast&Up,Health & Wellness,,,15th September 2024,Additional 10% Off,,,https://www.visa.co.in/en_in/visa-offers-and-perks/fast-up/148595,,Online ,
33,,Holiday of Dreams,Holiday of Dreams,Travel,,,15th September 2024,Rs. 5000 Off Per Couple / Family” On Booking A Maldives Holiday For 4 Nights Or More.,,,https://www.visa.co.in/en_in/visa-offers-and-perks/holiday-of-dreams/148560,,Online ,
34,,IGP,IGP,Others ,,,15th September 2024,20% off ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/igp/143562,,Online ,
35,,Kidzania,Kidzania,Entertainment,,,15th September 2024,Flat 10% Off on online advance bookings at Kidzania,,,https://www.visa.co.in/en_in/visa-offers-and-perks/kidzania/148739,,Online ,
