,Bank Name,Merchant Name,Link to offer on Bank site (for reference),Category,Detailed offer text (if available),Promo code (if available),Online/ Offline
0,standard chartered,Amazon ,https://www.gyftr.com/sc-instavouchers/amazon-shopping-voucher-gift-vouchers,Retail,brand voucher amazon ,No Promocode,Online
1,standard chartered,Archies Gallery,https://www.gyftr.com/sc-instavouchers/archies-gallery-gift-vouchers,Gifts,Flat 10% OFF,SCDISA0,Online
2,standard chartered,Armani Exchange-Luxe ,https://www.gyftr.com/sc-instavouchers/luxe-gift-card-–-armani-exchange-gift-vouchers,Fashion,Flat 10% OFF,No promocode,Offline
3,standard chartered,Arrow,https://www.gyftr.com/sc-instavouchers/arrow-gift-vouchers,Fashion,Flat 10% OFF,SCDISA0,Offline
4,standard chartered,Aurelia,https://www.gyftr.com/sc-instavouchers/aurelia-gift-vouchers,Fashion,Flat 7.5% OFF,SCDIS0A0,Offline
5,standard chartered,Balenzia,https://www.gyftr.com/sc-instavouchers/balenzia-gift-vouchers,Fashion,Flat 20% OFF,SCALL20,Online
6,standard chartered,Bata,https://www.gyftr.com/sc-instavouchers/bata-gift-vouchers,Fashion,Flat 12.5% OFF,SCDISBATA0,Offline
7,standard chartered,Bewakoof,https://www.gyftr.com/sc-instavouchers/bewakoof-gift-vouchers,Fashion,Flat 12.5% OFF,SCDISBK0,Online
8,standard chartered,Beyoung,https://www.gyftr.com/sc-instavouchers/beyoung-gift-vouchers,Fashion,Flat 20% OFF,SCALL20,Online
9,standard chartered,Bluestone Diamond,https://www.gyftr.com/sc-instavouchers/bluestone-diamond-gift-vouchers,Jewelry,Flat 5% OFF,SCDISPANT5,Online
10,standard chartered,Bluestone Gold Jewellery,https://www.gyftr.com/sc-instavouchers/bluestone-gold-jewellery-gift-vouchers,Jewelry,brand voucher bluestone gold jewellery,No Promocode,Online
11,standard chartered,Bobbi Brown,https://www.gyftr.com/sc-instavouchers/bobbi-brown-gift-vouchers,Beauty,Flat 7.5% OFF,SCDISR07,Offline
12,standard chartered,Brooks Brothers -Luxe ,https://www.gyftr.com/sc-instavouchers/luxe-gift-card-–-brooks-brothers-gift-vouchers,Fashion,Flat 10% OFF,No promocode,Offline
13,standard chartered,Campus,https://www.gyftr.com/sc-instavouchers/campus-gift-vouchers,Fashion,Flat 10% OFF,SCDISMC10,Offline
14,standard chartered,Candere Diamond Jewellery,https://www.gyftr.com/sc-instavouchers/candere-diamond-jewellery-gift-vouchers,Jewelry,Flat 5% OFF,SCDISPANT5,Online
15,standard chartered,Candere Gold Jewellery,https://www.gyftr.com/sc-instavouchers/candere-gold-jewellery-gift-vouchers,Jewelry,Flat 1% OFF,SCDISM1,Online
16,standard chartered,Celio,https://www.gyftr.com/sc-instavouchers/celio-gift-vouchers,Fashion,Flat 10% OFF,SCDISOC10,Offline
17,standard chartered,Chumbak,https://www.gyftr.com/sc-instavouchers/chumbak-gift-vouchers,Lifestyle,Flat 10% OFF,SCDISC0,Offline
